2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:48:43Z INFO [149/364] 16ad8799-b9d0-45cc-a15b-0ab72906bc0e: Sackin index -0.1349; 1.2 s; peak memory 506 MiB.
2026-09-26T00:50:50Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: Sackin index -0.0288; 127.4 s; peak memory 506 MiB.
2026-09-26T00:50:50Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: checkpointed 57808 records.
2026-09-26T00:50:52Z INFO [151/364] 16aee368-1e2c-4b32-9d7f-c6e90e84c689: Sackin index -0.1194; 1.7 s; peak memory 506 MiB.
2026-09-26T00:50:53Z INFO [152/364] 16aeeec1-0b58-4e2c-baf0-aab90648c092: Sackin index -0.2147; 0.9 s; peak memory 506 MiB.
2026-09-26T00:50:54Z INFO [153/364] 16afcbc6-817b-4b0b-9ea7-6cba914a368d: Sackin index -0.1349; 1.3 s; peak memory 506 MiB.
2026-09-26T00:50:55Z INFO [154/364] 16b01afa-4b27-4410-b2ac-224fe96075fe: Sackin index -0.1349; 1.1 s; peak memory 506 MiB.
2026-09-26T00:50:57Z INFO [155/364] 16b0f0eb-5824-43bc-95b3-b838b8d993b7: Sackin index -0.1273; 1.5 s; peak memory 506 MiB.
2026-09-26T00:50:58Z INFO [156/364] 16b11de9-aba7-4610-993f-fd129ba40953: Sackin index -0.0388; 1.2 s; peak memory 506 MiB.
2026-09-26T00:51:05Z INFO [157/364] 16b2453a-4b9b-46bb-b827-62f01674c02a: Sackin index -0.0246; 6.6 s; peak memory 506 MiB.
2026-09-26T00:51:10Z INFO [158/364] 16b34087-bbe7-4b09-b4fb-3c5e8e24ffca: Sackin index -0.0201; 5.6 s; peak memory 506 MiB.
2026-09-26T00:51:12Z INFO [159/364] 16b421c3-ce42-49c1-94df-31ba55c638a0: Sackin index -0.0369; 2.0 s; peak memory 506 MiB.
2026-09-26T00:51:24Z INFO [160/364] 16b46d12-9f77-41b3-bf0d-cf2343734ee8: Sackin index -0.0038; 11.8 s; peak memory 506 MiB.
